,LoyaltyID,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Count,Gender,Age,Under 30,Married,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,churn_encoded
24,547896,6322-HRPFA,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,1.0,Male,42.0,No,Yes,2.0,SGWJUP9693,United States,California,Los Angeles,90026.0,"34.078991, -118.263804",34.078991,-118.263804,0
25,861459,6865-JZNKO,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,1.0,Female,25.0,Yes,No,0.0,CIWTLB9771,United States,California,Los Angeles,90027.0,"34.127194, -118.295647",34.127194,-118.295647,0
26,100681,6467-CHFZW,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1.0,Male,61.0,No,Yes,1.0,JTZSGZ3269,United States,California,Los Angeles,90028.0,"34.099869, -118.326843",34.099869,-118.326843,1
28,270829,5248-YGIJN,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,1.0,Male,36.0,No,Yes,0.0,UZIKCR3845,United States,California,Los Angeles,90031.0,"34.085807, -118.206617",34.085807,-118.206617,0
30,203287,3841-NFECX,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,1.0,Female,69.0,No,Yes,0.0,FNYOEC7599,United States,California,Los Angeles,90033.0,"34.050198, -118.210946",34.050198,-118.210946,0
31,480074,4929-XIHVW,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,1.0,Male,79.0,No,Yes,0.0,KHEXXG8244,United States,California,Los Angeles,90034.0,"34.030578, -118.399613",34.030578,-118.399613,0
33,607565,7310-EGVHZ,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,1.0,Male,35.0,No,No,0.0,OIQEPN5929,United States,California,Los Angeles,90036.0,"34.070291, -118.349191",34.070291,-118.349191,0
34,486672,3413-BMNZE,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,1.0,Male,71.0,No,No,0.0,GWBJAU7774,United States,California,Los Angeles,90037.0,"34.002642, -118.287596",34.002642,-118.287596,0
37,871206,6572-ADKRS,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1.0,Female,19.0,Yes,No,0.0,YFLUAY2613,United States,California,Los Angeles,90040.0,"33.994524, -118.149953",33.994524,-118.149953,0
43,281984,4671-VJLCL,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,1.0,Female,36.0,No,No,0.0,BYEWHB5926,United States,California,Los Angeles,90046.0,"34.108455, -118.362081",34.108455,-118.362081,0
44,128608,4080-IIARD,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,1.0,Female,42.0,No,Yes,0.0,FGMNRN7653,United States,California,Los Angeles,90047.0,"33.958149, -118.308441",33.958149,-118.308441,0
45,442160,3714-NTNFO,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1.0,Female,49.0,No,No,0.0,RTTXIP8116,United States,California,Los Angeles,90048.0,"34.072945, -118.37267",34.072945,-118.37267,0
46,691520,5948-UJZLF,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,1.0,Male,22.0,Yes,No,0.0,ODKPHY5718,United States,California,Los Angeles,90049.0,"34.091829, -118.491244",34.091829,-118.491244,0
48,455606,7639-LIAYI,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,1.0,Male,23.0,Yes,No,0.0,NWKXTP8986,United States,California,Los Angeles,90057.0,"34.061918, -118.277939",34.061918,-118.277939,0
50,498491,8012-SOUDQ,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,1.0,Female,65.0,No,No,0.0,UDVSTD6787,United States,California,Los Angeles,90059.0,"33.927254, -118.249826",33.927254,-118.249826,0
52,221059,6575-SUVOI,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,1.0,Female,65.0,No,Yes,0.0,CVBTSQ5569,United States,California,Los Angeles,90062.0,"34.003553, -118.308933",34.003553,-118.308933,0
59,475575,5954-BDFSG,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,1.0,Female,40.0,No,No,0.0,GIMRQZ5519,United States,California,West Hollywood,90069.0,"34.093781, -118.381061",34.093781,-118.381061,0
60,151748,0434-CSFON,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,1.0,Female,34.0,No,Yes,0.0,CLRFWR3874,United States,California,Los Angeles,90071.0,"34.052917, -118.255178",34.052917,-118.255178,0
61,956499,1215-FIGMP,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,1.0,Male,27.0,Yes,No,0.0,AMGLAK6286,United States,California,Los Angeles,90077.0,"34.102084, -118.451629",34.102084,-118.451629,0
62,945064,0526-SXDJP,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,1.0,Male,36.0,No,Yes,0.0,GTSNQN5478,United States,California,Bell,90201.0,"33.970343, -118.171368",33.970343,-118.171368,0
65,989753,5122-CYFXA,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,1.0,Female,53.0,No,No,0.0,VWMQZX8232,United States,California,Beverly Hills,90212.0,"34.062095, -118.401508",34.062095,-118.401508,0
66,693008,8627-ZYGSZ,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,1.0,Male,32.0,No,Yes,0.0,WEXJIO8744,United States,California,Compton,90220.0,"33.88151, -118.234451",33.88151,-118.234451,0
67,633992,3410-YOQBQ,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,1.0,Female,61.0,No,No,0.0,TYYKMA6347,United States,California,Compton,90221.0,"33.885811, -118.206459",33.885811,-118.206459,0
69,219609,7410-OIEDU,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,1.0,Male,29.0,Yes,No,0.0,CXVBGH9943,United States,California,Culver City,90230.0,"33.993991, -118.39704",33.993991,-118.39704,0
70,153973,2273-QCKXA,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,1.0,Male,39.0,No,No,0.0,TNLPPY8136,United States,California,Culver City,90232.0,"34.019323, -118.391902",34.019323,-118.391902,0
74,246338,5630-AHZIL,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,1.0,Female,51.0,No,No,3.0,RZURQR9715,United States,California,El Segundo,90245.0,"33.917145, -118.401554",33.917145,-118.401554,0
75,381839,2673-CXQEU,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,1.0,Female,73.0,No,No,0.0,PHPTGL3423,United States,California,Gardena,90247.0,"33.890853, -118.297967",33.890853,-118.297967,0
76,797120,6416-JNVRK,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,1.0,Female,50.0,No,No,0.0,WWBCIH4471,United States,California,Gardena,90248.0,"33.876482, -118.284077",33.876482,-118.284077,0
77,821252,5590-ZSKRV,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,1.0,Female,62.0,No,Yes,1.0,GZRHJO8351,United States,California,Gardena,90249.0,"33.90139, -118.315697",33.90139,-118.315697,0
78,918592,0191-ZHSKZ,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,1.0,Male,80.0,No,No,0.0,HJPBWE7293,United States,California,Hawthorne,90250.0,"33.914775, -118.348083",33.914775,-118.348083,0
80,980245,5919-TMRGD,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1.0,Female,32.0,No,No,3.0,PIHWWY6284,United States,California,Huntington Park,90255.0,"33.97803, -118.217141",33.97803,-118.217141,1
81,736646,8108-UXRQN,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,1.0,Female,23.0,Yes,Yes,1.0,ISBNTW6948,United States,California,Lawndale,90260.0,"33.88856, -118.351813",33.88856,-118.351813,0
83,718032,9919-YLNNG,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,1.0,Female,38.0,No,No,0.0,UJZKSJ3366,United States,California,Malibu,90263.0,"34.037037, -118.705803",34.037037,-118.705803,0
84,204567,0318-ZOPWS,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,1.0,Female,31.0,No,Yes,0.0,TLQIVB5453,United States,California,Malibu,90265.0,"34.074572, -118.831181",34.074572,-118.831181,0
85,136345,4445-ZJNMU,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,1.0,Male,30.0,No,No,0.0,BWVPFT9436,United States,California,Manhattan Beach,90266.0,"33.889632, -118.39737",33.889632,-118.39737,0
86,457184,4808-YNLEU,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,1.0,Female,51.0,No,Yes,0.0,YKLGUB4688,United States,California,Maywood,90270.0,"33.988572, -118.186565",33.988572,-118.186565,0
89,425940,3016-KSVCP,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,1.0,Male,47.0,No,Yes,0.0,RAQZTV1959,United States,California,Rancho Palos Verdes,90275.0,"33.753146, -118.367459",33.753146,-118.367459,0
90,195539,4767-HZZHQ,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,1.0,Male,32.0,No,Yes,3.0,ZEFVQY1381,United States,California,Redondo Beach,90277.0,"33.830453, -118.384565",33.830453,-118.384565,0
91,708446,2424-WVHPL,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,1.0,Male,79.0,No,No,0.0,QPCOEJ8899,United States,California,Redondo Beach,90278.0,"33.873395, -118.37019",33.873395,-118.37019,0
93,710672,6067-NGCEU,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,1.0,Female,50.0,No,No,0.0,FGNAUP5493,United States,California,Topanga,90290.0,"34.115192, -118.61017",34.115192,-118.61017,0
94,750199,9848-JQJTX,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,1.0,Male,52.0,No,No,0.0,RXAEHC5419,United States,California,Venice,90291.0,"33.991782, -118.479229",33.991782,-118.479229,0
97,108621,0278-YXOOG,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1.0,Male,30.0,No,No,0.0,DQGQAZ8166,United States,California,Inglewood,90301.0,"33.956445, -118.358634",33.956445,-118.358634,1
98,738919,3212-KXOCR,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,1.0,Male,62.0,No,No,0.0,MASFVJ7425,United States,California,Inglewood,90302.0,"33.975332, -118.355252",33.975332,-118.355252,0
100,630517,6380-ARCEH,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,1.0,Male,19.0,Yes,No,0.0,UTRWOH9473,United States,California,Inglewood,90304.0,"33.936827, -118.359824",33.936827,-118.359824,0
101,469238,3679-XASPY,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,1.0,Female,38.0,No,Yes,2.0,RYBBTX8225,United States,California,Inglewood,90305.0,"33.958134, -118.330905",33.958134,-118.330905,0
102,186668,7123-WQUHX,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,1.0,Male,34.0,No,No,0.0,ABCVCK8649,United States,California,Santa Monica,90401.0,"34.015481, -118.493231",34.015481,-118.493231,0
103,437350,5386-THSLQ,Yes,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,1.0,Female,65.0,No,Yes,0.0,XMDZPR2969,United States,California,Santa Monica,90402.0,"34.035849, -118.503508",34.035849,-118.503508,0
104,397972,3192-NQECA,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1.0,Male,26.0,Yes,Yes,0.0,VWPLTH6318,United States,California,Santa Monica,90403.0,"34.031529, -118.491156",34.031529,-118.491156,1
105,462663,6180-YBIQI,No,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,1.0,Male,35.0,No,No,0.0,XZHABO2217,United States,California,Santa Monica,90404.0,"34.026334, -118.474222",34.026334,-118.474222,0
107,583505,9750-BOOHV,No,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,1.0,Female,60.0,No,No,0.0,TRXCAT4992,United States,California,Torrance,90501.0,"33.833699, -118.314387",33.833699,-118.314387,0
108,532799,8597-CWYHH,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,1.0,Male,50.0,No,No,0.0,ASELGP5933,United States,California,Torrance,90502.0,"33.833181, -118.292062",33.833181,-118.292062,0
111,464187,4549-ZDQYY,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,1.0,Female,35.0,No,No,0.0,SVDYAF1455,United States,California,Torrance,90505.0,"33.807882, -118.347957",33.807882,-118.347957,0
112,849468,5712-AHQNN,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,1.0,Female,36.0,No,No,0.0,JMNPFW1391,United States,California,Whittier,90601.0,"34.007353, -118.033683",34.007353,-118.033683,0
115,159751,3071-VBYPO,No,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,1.0,Male,38.0,No,Yes,2.0,RSYYQC6418,United States,California,Whittier,90604.0,"33.929704, -118.01208",33.929704,-118.01208,0
116,140020,9560-BBZXK,No,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,1.0,Female,61.0,No,No,0.0,FHZSUQ4635,United States,California,Whittier,90605.0,"33.960891, -118.032222",33.960891,-118.032222,0
117,194722,5299-RULOA,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1.0,Female,62.0,No,Yes,2.0,AOCOUC4182,United States,California,Whittier,90606.0,"33.976678, -118.065875",33.976678,-118.065875,1
118,292954,8402-OOOHJ,No,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,1.0,Female,53.0,No,No,0.0,HPZWZX7422,United States,California,Buena Park,90620.0,"33.845706, -118.012204",33.845706,-118.012204,0
119,510002,9445-ZUEQE,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,1.0,Male,33.0,No,Yes,1.0,LEAGTL2684,United States,California,Buena Park,90621.0,"33.874224, -117.993368",33.874224,-117.993368,0
121,442014,2928-HLDBA,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,1.0,Female,31.0,No,No,0.0,VTAUDY5211,United States,California,Cypress,90630.0,"33.818477, -118.038307",33.818477,-118.038307,0
123,393285,6497-TILVL,No,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No,1.0,Female,20.0,Yes,Yes,2.0,FNBWEW6719,United States,California,La Mirada,90638.0,"33.902045, -118.008961",33.902045,-118.008961,0
124,305216,7219-TLZHO,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,No,1.0,Female,27.0,Yes,Yes,1.0,MRJWOX5169,United States,California,Montebello,90640.0,"34.015217, -118.109962",34.015217,-118.109962,0
125,839293,4622-YNKIJ,No,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No,1.0,Male,59.0,No,No,0.0,DIOOPU5629,United States,California,Norwalk,90650.0,"33.905963, -118.08263",33.905963,-118.08263,0
127,726837,6734-PSBAW,No,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No,1.0,Male,46.0,No,Yes,0.0,WSTYHF3774,United States,California,Santa Fe Springs,90670.0,"33.933565, -118.062611",33.933565,-118.062611,0
128,161109,3930-ZGWVE,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,No,1.0,Male,45.0,No,No,0.0,JAIEJE8727,United States,California,Stanton,90680.0,"33.801869, -117.995068",33.801869,-117.995068,0
129,752152,2639-UGMAZ,Yes,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,No,1.0,Male,73.0,No,No,0.0,IKQHJM2268,United States,California,Artesia,90701.0,"33.867593, -118.080637",33.867593,-118.080637,0
130,438452,2876-GZYZC,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,1.0,Female,49.0,No,No,0.0,WVAZSE2733,United States,California,Cerritos,90703.0,"33.8681, -118.067402",33.8681,-118.067402,0
132,767230,8587-XYZSF,No,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No,1.0,Male,60.0,No,No,0.0,UCPLVX9196,United States,California,Bellflower,90706.0,"33.887676, -118.127289",33.887676,-118.127289,0
133,194131,3091-FYHKI,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1.0,Male,64.0,No,No,0.0,TPRQGT8563,United States,California,Harbor City,90710.0,"33.798266, -118.300237",33.798266,-118.300237,1
134,186144,2372-HWUHI,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1.0,Male,45.0,No,No,0.0,BSDNSB9972,United States,California,Lakewood,90712.0,"33.840524, -118.148403",33.840524,-118.148403,1
135,876741,7799-LGRDP,No,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,No,1.0,Female,42.0,No,No,0.0,HWFYKS3772,United States,California,Lakewood,90713.0,"33.847755, -118.112532",33.847755,-118.112532,0
136,735051,7850-VWJUU,No,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,1.0,Female,37.0,No,No,0.0,PPRVDD6556,United States,California,Lakewood,90715.0,"33.841027, -118.078097",33.841027,-118.078097,0
141,385977,4080-OGPJL,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1.0,Female,53.0,No,No,0.0,KUSORC8941,United States,California,San Pedro,90731.0,"33.736387, -118.284363",33.736387,-118.284363,1
142,720557,1095-WGNGG,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No,1.0,Female,35.0,No,Yes,0.0,SLRQGB9761,United States,California,San Pedro,90732.0,"33.744119, -118.31448",33.744119,-118.31448,0
